Date,Exercise,Sets,Repetitions,Weight Avg,Working 1 Rep Max,Percentile
2022/5/5,Seated Cable Row,5,13,102,159,22.2,
2022/5/5,Pull Ups,5,9,132,174,7.2,
2022/5/4,Machine Shoulder Press,5,12,100,152,37,
2022/5/4,Bench Press,5,10,150,200,41.2,
2022/5/2,Squat,3,10,262,349,76,
2022/5/1,Machine Bicep Curl,5,7,85,103,33.6,
2022/5/1,Reverse Wrist Curl,2,9,35,46,18.5,
2022/5/1,Wrist Curl,2,9,50,65,26.5,
2022/5/1,Dumbbell Reverse Fly,3,15,25,40,46,
2022/5/1,Machine Calf Raise,5,15,210,343,53,
2022/5/1,Chin Ups,6,11,116,166,4.83333,
2022/5/1,Pendlay Row,5,9,125,160,27.6,
2022/4/29,Reverse Wrist Curl,3,11,30,42,16.6667,
2022/4/29,Wrist Curl,3,15,38,62,23,
2022/4/29,Dumbbell Lateral Raise,5,11,18,24,31.8,
2022/4/29,Machine Tricep Extension,5,15,85,139,40,
2022/4/29,Chest Press,5,7,130,158,31.2,
2022/4/29,Shoulder Press,5,10,88,118,33,
2022/4/27,Hack Squat,5,13,195,306,36.6,
2022/4/27,Sumo Deadlift,5,12,305,454,68.8,
2022/4/26,Neck Extension,2,15,25,40,23,
2022/4/26,Neck Curl,2,14,25,39,25,
2022/4/26,Machine Reverse Fly,5,14,75,120,29.4,
2022/4/26,Preacher Curl,5,12,48,68,19.4,
2022/4/26,Seated Calf Raise,5,11,105,147,26,
2022/4/26,Seated Cable Row,5,10,105,142,20.8,
2022/4/26,Pull Ups,5,11,124,176,8.2,
2022/4/25,Tricep Pushdown,4,15,80,130,46,
2022/4/25,Reverse Wrist Curl,1,9,30,38,15,
2022/4/25,Machine Lateral Raise,5,15,67,109,34,
2022/4/25,Machine Shoulder Press,5,13,94,147,33.6,
2022/4/25,Bench Press,5,10,148,198,40.6,
2022/4/18,Machine Shoulder Press,5,13,78,119,21.6,
2022/4/18,Dumbbell Tricep Kickback,4,15,25,40,43,
2022/4/18,Bench Press,5,10,148,200,41.2,
2022/3/31,Sumo Deadlift,9,1,350,350,46.1111,
2022/3/30,Dumbbell Shoulder Press,5,10,35,47,16.8,
2022/3/30,Bench Press,5,9,155,200,40.4,
2022/3/28,Incline Hammer Curl,5,10,27,37,35.6,
2022/3/28,Dumbbell Reverse Fly,5,14,20,31,35.6,
2022/3/28,Machine Calf Raise,5,15,200,327,50,
2022/3/28,Chin Ups,5,11,125,177,5.8,
2022/3/28,Pendlay Row,5,10,125,173,30.8,
2022/3/27,Dumbbell Lateral Raise,5,11,20,27,35.8,
